identifier	2019	geometry
f4fd4bbc-798c-48e9-8519-a6e198d9112c	1	0106000020110F000001000000010300000001000000080000009659DC5098FD344194D41FAF1AB25541D1DFE96FA2FD3441B9C051841BB25541D2A281CDA3FD3441A72BC7A01BB255410EBC039FA5FD34419EBFAD3C1AB25541EE5EF38A99FD34418575CE3E19B25541E11B494A99FD34416C2A9D6F19B25541F9038DE199FD34417D65BC7C19B255419659DC5098FD344194D41FAF1AB25541
fe24796c-2a8f-473e-a233-22627cf9bef3	1	0106000020110F0000010000000103000000010000000A0000007E5DD328EDFC3441532259E17EB2554121C2C979EEFC3441C1A916EF7EB25541231B39E3EEFC3441B9BAAF497EB25541A3C3FA43F4FC34414A8DB6827EB25541C44C85ECF5FC3441869A83F37BB255414B50E234F3FC34415FE6F0D67BB2554165740114F3FC3441F3CF4F0F7CB25541AEF2235EEFFC34413127FDEC7BB255412A9B85DFEEFC34416AFEDE017CB255417E5DD328EDFC3441532259E17EB25541
4b108f6e-bd9c-49fa-9a04-806a984ba396	1	0106000020110F00000100000001030000000100000007000000792F87E68FFD3441D7F093AA18B25541361335DD8CFD3441A25C34FE1AB25541AACD44D896FD3441A6025DD01BB255419659DC5098FD344194D41FAF1AB25541F9038DE199FD34417D65BC7C19B25541E11B494A99FD34416C2A9D6F19B25541792F87E68FFD3441D7F093AA18B25541
1dcb2eab-65e9-4522-914e-ca7c75b3f54a	1	0106000020110F00000100000001030000000100000005000000224AF80BCBFD3441380769885CB2554178950C9DCEFD344127B838015DB25541969422B2D2FD3441FEBBCA0E5BB255411DF06A1DCFFD3441116DF3955AB25541224AF80BCBFD3441380769885CB25541
224b9ddc-7f76-4386-97c7-cce7dfdcb06e	1	0106000020110F000001000000010300000001000000070000000DA978C4A3FD3441269C9B6841B25541C2EDB701ACFD3441E4A6707D42B255414ED341A6B5FD3441E99963A13DB255411F8BFA99B6FD34417E73B7BF3DB2554135EF1184BBFD344101B3626C3BB25541ADF312EFB1FD34416B621B463AB255410DA978C4A3FD3441269C9B6841B25541
68d8b8a8-be17-4bc4-be2e-8e7a78721c92	1	0106000020110F0000010000000103000000010000000E000000626BE3BAD9FC344127D0A32A88B255416919845DE3FC34417A88C59588B25541791EDC92E3FC3441F2BA334C88B25541DBFC7BB9E7FC3441ED7DD2AD82B255413D28CC57E1FC3441AF5B107380B255411FF76080E1FC3441648DAF1B80B2554108FF71B2EAFC34418FD323C77EB255419E572543EBFC34411C4F68D47DB25541BB72238DE9FC3441C6166EBF7DB25541490248EEDAFC34410217BE0A7DB255411954C2C7D4FC34413720566F85B255417BABFE0FD9FC3441323E42F686B25541E9035451DAFC344137BE170C87B25541626BE3BAD9FC344127D0A32A88B25541
608f21fb-9f9a-448e-b570-bc93df7e3b4a	1	0106000020110F00000100000001030000000100000005000000CEDF5B46FAFC344133A43F0393B25541FE73BCA5FEFC3441DD65D83293B2554103E57B5FFFFC34413E54CF1C92B255410F2D0600FBFC3441B24920EE91B25541CEDF5B46FAFC344133A43F0393B25541
8d633061-db83-4f06-9d5b-436d250a1ce8	1	0106000020110F00000100000001030000000100000005000000CF6BEE4A61FD3441FDB7E9BD54B2554176A476B165FD34412A36CAA552B25541FF61F67962FD3441575EAD3852B25541968BCA0F5EFD3441D825C55054B25541CF6BEE4A61FD3441FDB7E9BD54B25541
a96ef3a6-9807-418e-8bd6-1b31cadc6aff	1	0106000020110F00000100000001030000000100000006000000F1012D066EFD34414F4F597D75B25541DAF5B42175FD34416D6D899B72B255417B06A7656AFD3441AC86C7E970B25541D984A35E63FD344171AFCCD573B25541C0FE0CD964FD34416933A51074B25541F1012D066EFD34414F4F597D75B25541
1cbe1526-de86-4a72-9cc6-900d32c65bce	1	0106000020110F0000010000000103000000010000000C00000011F8CEFB6EFD3441BE28A3AD56B255418083B42070FD34419B25E23256B255412770F0B46DFD34419B9CA02B53B25541E8D96FEB78FD3441C64D91F851B25541FF64C5CB7DFD34415D7556B84FB2554161652E8E6FFD3441A5C10EF64DB255412E38872F6BFD34413C52AD0950B2554176A476B165FD34412A36CAA552B25541CF6BEE4A61FD3441FDB7E9BD54B25541FE7A040561FD3441B68023DF54B25541CF0C1B456EFD344158E5349656B2554111F8CEFB6EFD3441BE28A3AD56B25541
6147fbda-7f2b-4072-9c3e-69522a5f781d	1	0106000020110F0000010000000103000000010000000700000068E4096D05FE34411727AA0E45B25541CC0CA7D9FAFD34418CF1D65349B2554186B4EA96FBFD34419A0ACE7049B255414A5AE29104FE3441E3ACACD64AB25541B63B395605FE3441A36B86F54AB25541E3DAF7E50FFE3441038C51B046B2554168E4096D05FE34411727AA0E45B25541
6b3ec16f-fd04-48a6-adff-26a61ac2a73c	1	0106000020110F00000100000001030000000100000008000000126F8A0E52FD34417807437A41B255410241C9F25CFD344194F661D742B255419EAF2F627DFD3441C0F55F7E2DB25541CFAF13C97DFD344150E4A73A2DB25541928F9D4C75FD3441BFD565832CB25541E019B8D972FD3441AB95BA4E2CB255415D79D03E72FD3441839B93412CB25541126F8A0E52FD34417807437A41B25541
fb1adaf2-7040-4f7e-94b3-c0138588f6ff	1	0106000020110F000001000000010300000001000000050000008881F651FDFD3441860838C94AB255418C18C913FBFD344103ED52B94BB25541CE44A80602FE3441BA4CF3C54CB255415A40CC4404FE3441B745D8D54BB255418881F651FDFD3441860838C94AB25541
5ca694a6-960d-4bf5-8d94-c19bedc08245	1	0106000020110F0000010000000103000000010000000500000086B4EA96FBFD34419A0ACE7049B2554133C1C2A0FAFD3441FABB2ED449B255411F78C39B03FE344128D00F3A4BB255414A5AE29104FE3441E3ACACD64AB2554186B4EA96FBFD34419A0ACE7049B25541
c4031439-5d99-4a86-a774-0e230a0ee317	1	0106000020110F0000010000000103000000010000000500000037B3110FC1FD344194F6A44F61B25541F24953E8C4FD3441F1559ECD61B25541222A2006C9FD3441DD0D4CD05FB255419ACFA93BC5FD3441DE2F9E505FB2554137B3110FC1FD344194F6A44F61B25541
fb86ec74-19a2-43da-bd8e-3dc5f7c44499	1	0106000020110F000001000000010300000001000000090000000A504169D7FD3441C9B42B412CB255410747240DAEFD3441CA8BAB3528B25541F37740649EFD3441BA12B14632B25541ADE0C0189EFD344141357F7632B25541460C0444ADFD344178CFDCF933B255413A269916B9FD3441C4883C602CB25541DD575396DDFD3441D7FB08F22FB25541F39760C7E1FD3441BA6C7B452DB255410A504169D7FD3441C9B42B412CB25541
0bd61811-e3f8-4688-80ad-164a8eeb5399	1	0106000020110F000001000000010300000001000000050000008F7CBC1710FE34414BCBD72E27B25541B8A37EF614FE3441D0954C9627B25541EF8E80D418FE3441A4CE709024B25541D3E7E22E14FE34415AACAF3124B255418F7CBC1710FE34414BCBD72E27B25541
SSE_BLDG_001	1	0106000020110F0000010000000103000000020000000F0000009C8505149DFC3441704C148F96B25541ED546A5ECFFC3441B14FD4CE98B25541D3DFB182CFFC34417328509898B2554130AA9F7DD1FC344133A5B0C095B255416EB40754D8FC34413CA29DEA8BB255416AD9CD40D7FC34411D304CDE8BB25541043231AACAFC3441EC7F374A8BB25541D59C24F4C9FC34415BE4F5438CB25541BFBEB6AEC6FC3441DB764B258CB255419B0208A3C2FC3441F9EC62F68BB255411D44A5DAC2FC3441F9917C9B8BB25541E1DABD85A6FC34414B1A57508AB25541EEB111FCA5FC34411A25A34A8AB25541938040BEA5FC34413A7D439D8AB255419C8505149DFC3441704C148F96B255410500000088B5FFA8ACFC3441DB8100D693B2554157B14017B0FC3441535B48278FB25541AEA81661C6FC344103281B1790B25541280D804CC3FC3441A5209BD094B2554188B5FFA8ACFC3441DB8100D693B25541
da5433e3-b955-4827-b2ea-010fc02cf9dd	1	0106000020110F00000100000001030000000100000005000000EA10A9BDF5FD3441599A25C64EB255417CE20D8BF4FD3441C674623A4FB25541AA83EAFAF6FD3441A40C32A24FB25541278BA42DF8FD3441D43A092D4FB25541EA10A9BDF5FD3441599A25C64EB25541
61f70c3b-9a50-4264-a144-d3d49cf3f37a	1	0106000020110F000001000000010300000001000000050000001348A2071AFE34412F87BA0228B25541214C43031FFE3441C9D33F6C28B2554111FAACBA22FE3441E2271C5B25B25541EC0F48D41DFE34419E5B57F624B255411348A2071AFE34412F87BA0228B25541
88e99299-6d7e-477b-8426-dbda4a60c0b8	1	0106000020110F0000010000000103000000010000000B000000C2EDB701ACFD3441E4A6707D42B255415D23EAB7B8FD34416CA24A1444B25541FE240366B8FD344115F3A33D44B25541F65D6A0CC6FD344110A2E2F145B25541261B9056C6FD34414A6E20CC45B25541A8F3633BD3FD3441137DD76847B25541CEE8E7E7DCFD34413BFC608742B2554148871531DCFD3441EB89DC7042B255411F8BFA99B6FD34417E73B7BF3DB255414ED341A6B5FD3441E99963A13DB25541C2EDB701ACFD3441E4A6707D42B25541
f360eb33-a9d9-42e1-8152-687cddd71d83	1	0106000020110F00000100000001030000000100000006000000C02283ED49FD3441295E90BA78B25541C730B93756FD3441F981AE3179B255419FE95D6657FD344114514F2476B255412E55346E4BFD3441D471569E75B255413C4B55974AFD3441E36C505B77B25541C02283ED49FD3441295E90BA78B25541
83d77d6e-7b53-498d-92c4-e78b23ef41a4	1	0106000020110F000001000000010300000001000000050000006C2A7BCEF4FD34412D0AB0154EB2554121293511F4FD3441A4242D684EB25541BDBD0AB7F5FD34411E4C34A54EB25541954B6F74F6FD3441F291CD514EB255416C2A7BCEF4FD34412D0AB0154EB25541
982c8343-5559-4265-a231-6b4720768151	1	0106000020110F00000100000001030000000100000005000000E019B8D972FD3441AB95BA4E2CB25541928F9D4C75FD3441BFD565832CB25541FA822A7778FD3441F6DE1C642AB255417FDD55BC75FD3441D9DD74282AB25541E019B8D972FD3441AB95BA4E2CB25541
869f60ef-cc77-4c3a-80c9-4c0b4cdf715e	1	0106000020110F00000100000001030000000100000005000000B8A37EF614FE3441D0954C9627B255411348A2071AFE34412F87BA0228B25541EC0F48D41DFE34419E5B57F624B25541EF8E80D418FE3441A4CE709024B25541B8A37EF614FE3441D0954C9627B25541
e5536767-48bd-4be8-93d8-55a31035d9fd	1	0106000020110F000001000000010300000001000000050000001120FC80E2FD34417C039B1E25B255410A504169D7FD3441C9B42B412CB25541F39760C7E1FD3441BA6C7B452DB25541CA2FD0F4ECFD3441F898FF2326B255411120FC80E2FD34417C039B1E25B25541
29c876cf-6df5-4bf7-9457-8ddfa27a39ce	1	0106000020110F000001000000010300000001000000090000008BAD360789FD34410DC371C07EB255415B7CB86D8BFD344153F14B1C7FB2554129673AE49DFD344117C65FA877B2554170E28E7E9BFD34414964224677B25541A63EFC4098FD34413366C18C78B25541E60504C996FD344178E5105B78B2554150C4447D8AFD344145B8385F7DB255411BAEE2EC8BFD3441B3E312997DB255418BAD360789FD34410DC371C07EB25541
8d8a56a4-a884-435f-8652-1bccf253dda0	1	0106000020110F00000100000001030000000100000006000000C730B93756FD3441F981AE3179B25541CFD3C0C260FD34416FCD6BD47AB25541B4E5875B67FD34415DD6702778B25541FFEE3C405EFD34411D15A2BD76B2554168C4FF9A5CFD3441C0BB077C76B25541C730B93756FD3441F981AE3179B25541
2d136b52-08be-4064-974f-fbbdc7ba6cff	1	0106000020110F000001000000010300000001000000050000009A810EB527FD3441949F093985B25541825CB9032FFD3441ACE8707D85B255416939581731FD3441FE53EAE881B25541C504ECC429FD34415F0D65A581B255419A810EB527FD3441949F093985B25541
a0da2d84-d7b9-4355-bb78-165b5c1f5cff	1	0106000020110F00000100000001030000000100000006000000ACB9F5FD94FD3441E4D79A3529B25541A821278395FD3441E01FAA4129B2554199120E3E99FD34410E7F40BD26B25541CEF4C03594FD34419B66014526B255418EF8BB7690FD3441C1BE09CD28B25541ACB9F5FD94FD3441E4D79A3529B25541
c78da7d9-8861-423e-afae-b2596ac4d6f1	1	0106000020110F00000100000001030000000100000008000000DB314FA277FD34411B8B4C3A57B25541620CA13070FD34415E4B5F4456B255418083B42070FD34419B25E23256B2554111F8CEFB6EFD3441BE28A3AD56B25541CF0C1B456EFD344158E5349656B255416B418A256DFD34416BC39C1F57B25541E064C79C75FD3441355EC13658B25541DB314FA277FD34411B8B4C3A57B25541
f76f108f-4545-4625-a05f-62128c1daba8	1	0106000020110F00000100000001030000000100000007000000CF218FAD86FD3441C31EBCDC29B255418EF8BB7690FD3441C1BE09CD28B25541CEF4C03594FD34419B66014526B25541CDC6B42E9EFD344171E9F88A1FB2554129AF76D78FFD34411ECBC5391EB2554126BD043782FD344100643D6F27B25541CF218FAD86FD3441C31EBCDC29B25541
SSE_BLDG_002	1	0106000020110F00000100000001030000000100000005000000D3DFB182CFFC34417328509898B25541863DB2BFE9FC34418B8387AF99B255419575BFAAEBFC344174F9D2E196B2554130AA9F7DD1FC344133A5B0C095B25541D3DFB182CFFC34417328509898B25541
0d3be369-0269-4fe7-a24a-0ad068955f7e	1	0106000020110F00000100000001030000000100000005000000214C43031FFE3441C9D33F6C28B25541173C396C26FE3441EA4F97FD28B25541E93B55672AFE3441C5F6FAF725B2554111FAACBA22FE3441E2271C5B25B25541214C43031FFE3441C9D33F6C28B25541
3b3c0e3c-a0af-40fb-b664-3922e1f6c6cc	1	0106000020110F0000010000000103000000010000000B00000011344EA3EDFC3441FA8940347CB255412A9B85DFEEFC34416AFEDE017CB25541AEF2235EEFFC34413127FDEC7BB2554165740114F3FC3441F3CF4F0F7CB255414B50E234F3FC34415FE6F0D67BB2554129686243F3FC3441883AA7BB7BB255416C7DD0B6F0FC344168C300A47BB25541D502F77BF1FC3441C23DBD847BB255413AE73EA1EFFC344167FD03CB7AB255412F4C64A9EBFC3441FD0D656E7BB2554111344EA3EDFC3441FA8940347CB25541
153070eb-33eb-4643-8a87-f301f945896c	1	0106000020110F0000010000000103000000010000000A00000008FF71B2EAFC34418FD323C77EB255417E5DD328EDFC3441532259E17EB255412A9B85DFEEFC34416AFEDE017CB2554111344EA3EDFC3441FA8940347CB255412F4C64A9EBFC3441FD0D656E7BB25541DE5F1564EBFC3441B96A54537BB25541DAB2EBFAEAFC3441F9E2B84F7BB25541BB72238DE9FC3441C6166EBF7DB255419E572543EBFC34411C4F68D47DB2554108FF71B2EAFC34418FD323C77EB25541
d250d557-07d6-438e-8b38-3e699ea54675	1	0106000020110F0000010000000103000000010000000B0000009EAF2F627DFD3441C0F55F7E2DB2554186EB86948CFD3441E91F61C62EB25541ACB9F5FD94FD3441E4D79A3529B255418EF8BB7690FD3441C1BE09CD28B25541CF218FAD86FD3441C31EBCDC29B2554126BD043782FD344100643D6F27B2554138BEF6887DFD344150F039FD26B25541FA822A7778FD3441F6DE1C642AB25541928F9D4C75FD3441BFD565832CB25541CFAF13C97DFD344150E4A73A2DB255419EAF2F627DFD3441C0F55F7E2DB25541
