AAT ID,NAME,URL,ITA,PARENT,COLLECTION
300386362,Group,http://vocab.getty.edu/aat/300386362,Gruppo,,actor_types
300065206,Social status,http://vocab.getty.edu/aat/300065206,Stato sociale,,actor_types
300236022,Noble,http://vocab.getty.edu/aat/300236022,Nobile,Social status,actor_types
,Cittadino,,Cittadino,Social status,actor_types
,Common person,,Popolano,Social status,actor_types
300411986,Ecclesiastic,http://vocab.getty.edu/aat/300411986,Ecclesiastico,Social status,actor_types
300312242,Archive (institution),http://vocab.getty.edu/aat/300312242,Archivio,Group,actor_types
300026005,Charitable institution,http://vocab.getty.edu/aat/300026005,Istituto di carità,Group,actor_types
300025988,Craft guild,http://vocab.getty.edu/aat/300025988,Arte di mestiere,Group,actor_types
300312281,Museum,http://vocab.getty.edu/aat/300312281,Museo,Group,actor_types
300261086,Political body,http://vocab.getty.edu/aat/300261086,Organo politico,Group,actor_types
,Scuola grande,http://vocab.getty.edu/aat/300312242,Scuola grande,Group,actor_types
,Scuola piccola,http://vocab.getty.edu/aat/300312242,Scuola piccola,Group,actor_types
300026009,Society,http://vocab.getty.edu/aat/300026009,Società,Group,actor_types
300232420,Sovereign State,http://vocab.getty.edu/aat/300232420,Stato,Group,actor_types
300343472,Religious institution,http://vocab.getty.edu/aat/300343472,Istituto religioso,Group,actor_types
300386367,Venetian office,http://vocab.getty.edu/aat/300386367,Magistratura veneziana,Group,actor_types
300024979,Person,http://vocab.getty.edu/aat/300024979,Persona,Actor,actor_types
,Title,,,,actor_types
300025463,Doge of Venice,http://vocab.getty.edu/aat/300025463,Doge di Venezia,Title,actor_types
,Dogaressa,,Dogaressa,Title,actor_types
300025773,Pope,http://vocab.getty.edu/aat/300025773,Papa,Title,actor_types
300025480,Emperor,http://vocab.getty.edu/aat/300025480,Imperatore,Title,actor_types
300150492,Empress,http://vocab.getty.edu/aat/300150492,Imperatrice,Title,actor_types
300025481,King,http://vocab.getty.edu/aat/300025481,Re,Title,actor_types
300025483,Queen,http://vocab.getty.edu/aat/300025483,Regina,Title,actor_types
300025482,Prince,http://vocab.getty.edu/aat/300025482,Principe,Title,actor_types
300025482,Princess,http://vocab.getty.edu/aat/300025482,Principessa,Title,actor_types
300132247,Duke,http://vocab.getty.edu/aat/300132247,Duca,Title,actor_types
300156290,Duchess,http://vocab.getty.edu/aat/300156290,Duchessa,Title,actor_types
300250804,Marquis,http://vocab.getty.edu/aat/300250804,Marchese,Title,actor_types
300258438,Marchioness,http://vocab.getty.edu/aat/300258438,Marchesa,Title,actor_types
300251948,Count,http://vocab.getty.edu/aat/300251948,Conte,Title,actor_types
300251944,Countess,http://vocab.getty.edu/aat/300251944,Contessa,Title,actor_types
300188587,Ambassador,http://vocab.getty.edu/aat/300188587,Ambasciatore,Title,actor_types
300025758,Cardinal,http://vocab.getty.edu/aat/300025758,Cardinale,Title,actor_types
300025756,Bishop,http://vocab.getty.edu/aat/300025756,Vescovo,Title,actor_types
300025753,Archbishop,http://vocab.getty.edu/aat/3000257533,Arcivescovo,Title,actor_types
300162118,Abbot,http://vocab.getty.edu/aat/300162118,Abate,Title,actor_types
300236003,Abbess,http://vocab.getty.edu/aat/300236003,Badessa,Title,actor_types
300000645,Prior,http://vocab.getty.edu/aat/300000645,Priore,Title,actor_types
300265215,Prioress,http://vocab.getty.edu/aat/300265215,Priora,Title,actor_types
300266789,Friar,http://vocab.getty.edu/aat/300266789,Frate,Title,actor_types
300025774,Priest,http://vocab.getty.edu/aat/300025774,Sacerdote,Title,actor_types
300025765,Monk,http://vocab.getty.edu/aat/300025765,Monaco,Title,actor_types
300025770,Nun,http://vocab.getty.edu/aat/300025770,Monaca,Title,actor_types
300025757,Canon,http://vocab.getty.edu/aat/300025757,Canonico,Title,actor_types
,Canon regular,,Canonico regolare,Title,actor_types
300025471,Procurator,http://vocab.getty.edu/aat/300025471,Procuratore,Title,actor_types
,Lay procurator,,Procuratore (monastero),Title,actor_types
300025772,Patriarch,http://vocab.getty.edu/aat/300025772,Patriarca di Venezia,Title,actor_types
300024987,Architect,http://vocab.getty.edu/aat/300024987,Architetto,Title,actor_types
300025063,Engineer,http://vocab.getty.edu/aat/300025063,Ingegnere,Title,actor_types
300025533,Professor,http://vocab.getty.edu/aat/300025533,Professore,Title,actor_types
300025809,Physician,http://vocab.getty.edu/aat/300025809,Medico,Title,actor_types
300417572,Apostolic nuncio,http://vocab.getty.edu/aat/300417572,Nunzio apostolico,Title,actor_types
300230874,Knight,http://vocab.getty.edu/aat/300230874,Cavaliere,Title,actor_types
,Proto,,Proto,Title,actor_types
,Vice Proto,,Vice Proto,Title,actor_types
,Savio,,Savio,Title,actor_types
,Monsignor,,Monsignore,Title,actor_types
,Vicar,,Vicario,Title,actor_types
,Guardian grando,,Guardian grando,Title,actor_types
300417424,Occupation,http://vocab.getty.edu/aat/300417424,Occupazione,Person,actor_types
300024987,Architect,http://vocab.getty.edu/aat/300024987,Architetto,Occupation,actor_types
300025063,Engineer,http://vocab.getty.edu/aat/300025063,Ingegnere,Occupation,actor_types
300025190,Designer,http://vocab.getty.edu/aat/300025190,Disegnatore,Occupation,actor_types
300025181,Sculptor,http://vocab.getty.edu/aat/300025181,Scultore,Occupation,actor_types
300025045,Stonemason,http://vocab.getty.edu/aat/300025045,Tagliapietre,Occupation,actor_types
300025039,Stonecutter,http://vocab.getty.edu/aat/300025039,Scalpellino,Occupation,actor_types
300025001,Construction worker,http://vocab.getty.edu/aat/300025001,Muratore,Occupation,actor_types
300025008,Carpenter,http://vocab.getty.edu/aat/300025008,Falegname,Occupation,actor_types
300435231,Smith,http://vocab.getty.edu/aat/300435231,Fabbro,Occupation,actor_types
300025100,Surveyor,http://vocab.getty.edu/aat/300025100,Rilevatore,Occupation,actor_types
300155533,Expert,http://vocab.getty.edu/aat/300155533,Perito,Occupation,actor_types
,Proto,,Proto,Occupation,actor_types
,Mercenary captain,,Condottiero,Occupation,actor_types
300025436,Superintender,http://vocab.getty.edu/aat/300025436,Sovraintendente,Occupation,actor_types
300025136,Painter,http://vocab.getty.edu/aat/300025136,Pittore,Occupation,actor_types
300154329,Miniaturist,http://vocab.getty.edu/aat/300154329,Miniatore,Occupation,actor_types
300239410,Engraver,http://vocab.getty.edu/aat/300239410,Incisore,Occupation,actor_types
300025164,Printmaker,http://vocab.getty.edu/aat/300025164,Tipografo,Occupation,actor_types
300025593,Cartographer,http://vocab.getty.edu/aat/300025593,Cartografo,Occupation,actor_types
300236518,Cosmographer,http://vocab.getty.edu/aat/300236518,Cosmografo,Occupation,actor_types
300025123,Illustrator,http://vocab.getty.edu/aat/300025123,Disegnatore,Occupation,actor_types
300025175,Lithographer,http://vocab.getty.edu/aat/300025175,Litografo,Occupation,actor_types
300025574,Publisher,http://vocab.getty.edu/aat/300025574,Editore,Occupation,actor_types
300025732,Printer,http://vocab.getty.edu/aat/300025732,Stampatore,Occupation,actor_types
300025687,Photographer,http://vocab.getty.edu/aat/300025687,Fotografo,Occupation,actor_types
300025463,Doge,http://vocab.getty.edu/aat/300025463,Doge,Occupation,actor_types
300150603,Senator,http://vocab.getty.edu/aat/300150603,Senatore,Occupation,actor_types
300025467,Venetian officer,http://vocab.getty.edu/aat/300025467,Magistrato,Occupation,actor_types
300025773,Pope,http://vocab.getty.edu/aat/300025773,Papa,Occupation,actor_types
300025758,Cardinal,http://vocab.getty.edu/aat/300025758,Cardinale,Occupation,actor_types
300025756,Bishop,http://vocab.getty.edu/aat/300025756,Vescovo,Occupation,actor_types
300162118,Abbot,http://vocab.getty.edu/aat/300162118,Abate,Occupation,actor_types
300236003,Abbess,http://vocab.getty.edu/aat/300236003,Badessa,Occupation,actor_types
300000645,Prior,http://vocab.getty.edu/aat/300000645,Priore,Occupation,actor_types
300265215,Prioress,http://vocab.getty.edu/aat/300265215,Priora,Occupation,actor_types
300025765,Monk,http://vocab.getty.edu/aat/300025765,Monaco,Occupation,actor_types
300025770,Nun,http://vocab.getty.edu/aat/300025770,Monaca,Occupation,actor_types
300266789,Friar,http://vocab.getty.edu/aat/300266789,Frate,Occupation,actor_types
300237357,Preacher,http://vocab.getty.edu/aat/300237357,Predicatore,Occupation,actor_types
300025539,Historian,http://vocab.getty.edu/aat/300025539,Storico,Occupation,actor_types
300025496,Chronicler,http://vocab.getty.edu/aat/300025496,Cronista,Occupation,actor_types
300025784,Theologian,http://vocab.getty.edu/aat/300025784,Teologo,Occupation,actor_types
300230871,Landowner,http://vocab.getty.edu/aat/300230871,Proprietario terriero,Occupation,actor_types
300025607,Farmer,http://vocab.getty.edu/aat/300025607,Agricoltore,Occupation,actor_types
300025614,Gardener,http://vocab.getty.edu/aat/300025614,Giardiniere,Occupation,actor_types
300137147,Secretary (religious),http://vocab.getty.edu/aat/300137147,Segretario (religioso),Occupation,actor_types
300160390,Guardian,http://vocab.getty.edu/aat/300160390,Guardiano,Occupation,actor_types
300251827,Senate,http://vocab.getty.edu/aat/300251827,Senato,Occupation,actor_types
300025245,Merchant,http://vocab.getty.edu/aat/300025245,Mercante,Occupation,actor_types
300025454,Notary,http://vocab.getty.edu/aat/300025454,Notaio,Occupation,actor_types
300136462,Lecturer,http://vocab.getty.edu/aat/300136462,Lettore,Occupation,actor_types
300435149,Art collector,http://vocab.getty.edu/aat/300435149,Collezionista d'arte,Occupation,actor_types
300236171,Captain,http://vocab.getty.edu/aat/300236171,Capitano,Occupation,actor_types
300025462,Diplomat,http://vocab.getty.edu/aat/300025462,Diplomatico,Occupation,actor_types
300386353,Master builder,http://vocab.getty.edu/aat/300386353,Capomastro,Occupation,actor_types
300025519,Critic,http://vocab.getty.edu/aat/300025519,Critico,Occupation,actor_types
300025541,Art historian,http://vocab.getty.edu/aat/300025541,Storico dell'arte,Occupation,actor_types